日期              时间       飞机地址           纬度                  经度                      高度 地速 航向    航班号 爬升率 识别代码
2017-10-10 13:3:18 780342 39.127957820892334 117.3483395576477 0.00 15.82 243.69 AMU237 0.0 null
2017-10-10 13:3:18 780342 39.12797927856445 117.34821081161499 0.00 15.82 243.69 AMU237 0.0 null
2017-10-10 13:3:19 780342 39.127952456474304 117.3481947183609 0.00 15.82 243.69 AMU237 0.0 null
2017-10-10 13:3:20 780342 39.12785053253174 117.34809815883636 0.00 15.82 243.69 AMU237 0.0 null
2017-10-10 13:3:20 780342 39.1278076171875 117.34803378582001 0.00 15.82 243.69 AMU237 0.0 null
2017-10-10 13:3:21 780342 39.1278076171875 117.34809815883636 0.00 13.84 243.69 AMU237 0.0 null
2017-10-10 13:3:22 780342 39.127652049064636 117.34797477722168 0.00 13.84 243.69 AMU237 0.0 null
2017-10-10 13:3:23 780342 39.127684235572815 117.34792649745941 0.00 12.96 243.69 AMU237 0.0 null
2017-10-10 13:3:23 780342 39.127684235572815 117.34792649745941 0.00 12.96 243.69 AMU237 0.0 null
2017-10-10 13:3:23 780342 39.12777006626129 117.34795868396759 0.00 12.96 243.69 AMU237 0.0 null
2017-10-10 13:3:24 780342 39.1278076171875 117.34797477722168 0.00 12.96 243.69 AMU237 0.0 null
2017-10-10 13:3:25 780342 39.1278076171875 117.34781920909882 0.00 11.87 243.69 AMU237 0.0 null
2017-10-10 13:3:26 780342 39.127711057662964 117.34770119190216 0.00 11.87 243.69 AMU237 0.0 null
2017-10-10 13:3:26 780342 39.127678871154785 117.34770119190216 0.00 11.87 243.69 AMU237 0.0 null
2017-10-10 13:3:27 780342 39.127657413482666 117.34777629375458 0.00 10.99 243.69 AMU237 0.0 null
2017-10-10 13:3:27 780342 39.127657413482666 117.34780848026276 0.00 10.99 243.69 AMU237 0.0 null
2017-10-10 13:3:28 780342 39.127668142318726 117.34765291213989 0.00 10.99 243.69 AMU237 0.0 null
2017-10-10 13:3:29 780342 39.127662777900696 117.34751880168915 0.00 10.99 243.69 AMU237 0.0 null
2017-10-10 13:3:29 780342 39.127657413482666 117.34754025936127 0.00 10.99 243.69 AMU237 0.0 null
2017-10-10 13:3:30 780342 39.12751257419586 117.34747052192688 0.00 10.99 240.70 AMU237 0.0 null
2017-10-10 13:3:30 780342 39.12739455699921 117.34740078449249 0.00 10.99 240.70 AMU237 0.0 null
2017-10-10 13:3:31 780342 39.12752866744995 117.34750807285309 0.00 10.99 240.70 AMU237 0.0 null
2017-10-10 13:3:32 780342 39.12761986255646 117.34752416610718 0.00 11.87 240.70 AMU237 0.0 null
2017-10-10 13:3:33 780342 39.12763059139252 117.34745442867279 0.00 10.99 238.70 AMU237 0.0 null
2017-10-10 13:3:33 780342 39.12763059139252 117.34745442867279 0.00 10.99 238.70 AMU237 0.0 null
2017-10-10 13:3:34 780342 39.12752866744995 117.34721839427948 0.00 11.87 235.71 AMU237 0.0 null
2017-10-10 13:3:34 780342 39.12747502326965 117.34707355499268 0.00 11.87 235.71 AMU237 0.0 null
2017-10-10 13:3:35 780342 39.127464294433594 117.34714865684509 0.00 11.87 232.71 AMU237 0.0 null
2017-10-10 13:3:35 780342 39.127453565597534 117.34718084335327 0.00 11.87 232.71 AMU237 0.0 null
2017-10-10 13:3:36 780342 39.12727117538452 117.34732031822205 0.00 11.87 221.72 AMU237 0.0 null
2017-10-10 13:3:36 780342 39.12727117538452 117.34732031822205 0.00 11.87 221.72 AMU237 0.0 null
2017-10-10 13:3:37 780342 39.12732481956482 117.34718084335327 0.00 11.87 215.73 AMU237 0.0 null
2017-10-10 13:3:38 780342 39.127437472343445 117.3470413684845 0.00 11.87 207.74 AMU237 0.0 null
